osm_id,name,weight
128763496,SANTA BARBARA,1.746
133123143,EL CARARE,1.364
324215672,TERRENO B,1.613
615086875,FLORENCIA,1.818
700088229,EL CARMEN,1.033
834249606,CA PAREDES BLANCAS TECHO ROJO,1.724
834249610,EL PENCO SECT BARBOSA,1.601
834727714,EL TABLON,3.016
834727718,MATA DE ROSA,4.494
836198810,FLORIAN,1.781
836198811,EL ESPINO,1.77
836198812,SAN FELIPE,1.663
836199327,SAN MARTIN,1.42
836200962,ESCUELA,2.426
836200963,VIA DE ACCESO,1.731
836200964,LA CALERA,2.326
836211525,VILLA NUEVA,1.569
836222397,RL MZITO,1.406
836222398,FLORENCIA,1.818
836222399,SAN VICENTE,1.405
836222408,LAS LOMITAS,1
935094816,SAN CAYETANO,1.439
936227228,MZO BAJO PORTUGAL,1.665
1016856197,CA PUERTAS BLANCAS PAREDES PANETADAS SIN PINTAR 1 PI,6.247
1016856201,LAS TERRAZAS,1.13
1016856202,LA CANTERA DEL TRIANGULO,1.002
1016856204,LT DE TERRENOL D LT 1,1.02
1016856205,EL PAJAR,2.781
1016865163,LA ESPETANZA,1.569
1063489475,EL TABLON,1.004
1107630883,OJO DE AGUA CLARA,1.115
1107630884,SAN ALFONSO,2.223
1107637264,CENTRO DE SALUD,3.383
1107637265,MERJORA,5.6
1107638113,LA CASTELLANA,2.24
1110196471,VALPARAISO,1.825
1110196474,LA ISLA,1.164
1110196475,EL GRADO,1.899
1110225877,MZO BAJO PORTUGAL,1.105
1110225878,SAN FERNANDO DEL A LT 2,2.675
1110225880,MORTINO,1.564
1110612231,TV 18 20 94,2.286
1110612232,LA SIERRA,1.489
1110612233,VILLA ROSITA,2.031
1110620217,EL GUAYABITO,2.046
1110620218,SAN CARLOS,3.861
1110620222,MATA DE ROSA,1.455
1110620223,EL PLANETARIO,1.311
1110620224,LAS CORRALEJAS,1.124
1110620226,SAN FRANCISCO,2.01
1110620230,LA FLORIDA,1.828